City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
yellowknife,62.46,-114.35,-34.6,73,90,5.82,CA,1608209715
cape town,-33.93,18.42,77.0,50,20,21.92,ZA,1608209461
butaritari,3.07,172.79,81.95,80,100,15.17,KI,1608209718
kavieng,-2.57,150.8,83.71,73,100,7.81,PG,1608209719
khatanga,71.97,102.5,-27.83,82,0,7.96,RU,1608209720
san isidro,-12.12,-77.05,68.0,82,0,10.29,PE,1608209721
new norfolk,-42.78,147.06,59.0,91,100,1.3,AU,1608209723
sao domingos,-13.4,-46.32,82.85,49,53,7.96,BR,1608209724
punta arenas,-53.15,-70.92,44.6,70,40,34.45,CL,1608209725
hobart,-42.88,147.33,59.0,93,75,6.93,AU,1608209703
kapaa,22.08,-159.32,75.2,83,40,12.75,US,1608209728
dambulla,7.86,80.65,75.52,86,88,4.94,LK,1608209729
bethel,41.37,-73.41,23.0,85,100,18.34,US,1608209730
prince george,53.92,-122.75,32.0,97,90,5.82,CA,1608209731
qaanaaq,77.48,-69.36,2.8,73,0,5.7,GL,1608209732
hualmay,-11.1,-77.61,70.05,79,94,6.55,PE,1608209734
sola,-13.88,167.55,81.5,76,0,11.56,VU,1608209735
mataura,-46.19,168.86,54.0,84,100,4.0,NZ,1608209736
fonte boa,-2.5,-66.27,74.93,96,100,1.5,BR,1608209737
rikitea,-23.12,-134.97,76.03,78,0,14.34,PF,1608209739
lagoa,39.05,-27.98,63.72,92,100,29.39,PT,1608209740
pemangkat,1.17,108.97,80.2,80,95,6.33,ID,1608209741
albany,42.6,-73.97,19.99,77,100,10.29,US,1608209742
araouane,18.9,-3.53,86.0,13,93,6.82,ML,1608209743
loreto,22.27,-101.97,43.09,68,0,2.33,MX,1608209745
east london,-33.02,27.91,75.2,73,20,14.99,ZA,1608209746
bosaso,11.28,49.18,78.8,83,20,12.75,SO,1608209747
mbandaka,0.05,18.26,88.12,53,100,1.61,CD,1608209748
bluff,-46.6,168.33,54.0,84,100,4.0,NZ,1608209750
jamestown,42.1,-79.24,23.0,92,90,4.7,US,1608209751
ponta do sol,32.67,-17.1,66.2,63,40,11.41,PT,1608209752
tiksi,71.69,128.87,-21.82,85,93,0.65,RU,1608209753
fairbanks,64.84,-147.72,-9.4,47,20,8.05,US,1608209732
le mars,42.79,-96.17,18.0,100,90,4.7,US,1608209756
saint-philippe,-21.36,55.77,82.4,74,20,20.8,RE,1608209757
riyadh,24.69,46.72,78.8,22,0,8.05,SA,1608209646
busselton,-33.65,115.33,62.01,71,0,3.0,AU,1608209759
arraial do cabo,-22.97,-42.03,77.0,83,75,5.82,BR,1608209724
ushuaia,-54.8,-68.3,41.0,86,75,34.45,AR,1608209646
kargat,55.2,80.28,13.28,95,100,16.46,RU,1608209763
thessalon,46.25,-83.57,10.4,92,1,10.13,CA,1608209764
mount isa,-20.73,139.5,80.6,69,88,1.12,AU,1608209765
nanortalik,60.14,-45.24,31.28,89,100,10.16,GL,1608209766
caravelas,-17.71,-39.25,84.16,54,1,8.23,BR,1608209768
hilo,19.73,-155.09,66.99,92,3,3.0,US,1608209769
lompoc,34.64,-120.46,50.0,87,90,4.76,US,1608209770
camopi,3.17,-52.32,83.84,69,44,4.9,GF,1608209771
canico,32.63,-16.85,66.2,63,40,11.41,PT,1608209772
alice springs,-23.7,133.88,93.2,18,100,6.93,AU,1608209576
broome,42.25,-75.83,18.0,85,90,11.41,US,1608209775
carahue,-38.7,-73.17,53.6,93,0,1.12,CL,1608209776
almeirim,-1.52,-52.58,86.43,59,3,6.11,BR,1608209657
ambilobe,-13.2,49.05,84.31,68,45,6.85,MG,1608209778
northam,51.03,-4.22,55.99,90,25,13.0,GB,1608209779
avarua,-21.21,-159.78,80.6,88,91,11.41,CK,1608209780
saskylakh,71.92,114.08,-35.88,82,6,1.3,RU,1608209781
irkutsk,52.3,104.3,3.2,65,0,6.71,RU,1608209698
chokurdakh,70.63,147.92,-0.89,93,100,10.83,RU,1608209784
atuona,-9.8,-139.03,78.1,75,14,17.36,PF,1608209785
antalaha,-14.9,50.28,83.21,68,1,13.22,MG,1608209786
yulara,-25.24,130.99,93.2,28,99,13.87,AU,1608209787
kamenka,51.32,42.77,21.13,98,88,7.07,RU,1608209789
kushima,31.46,131.23,39.2,55,20,4.7,JP,1608209790
valle hermoso,25.67,-97.83,46.4,81,1,6.93,MX,1608209791
roma,43.21,-75.46,19.99,85,90,4.7,US,1608209627
misratah,32.38,15.09,65.1,56,3,12.21,LY,1608209793
tasiilaq,65.61,-37.64,21.2,57,40,19.46,GL,1608209795
krasnoarmeysk,51.02,45.7,26.01,79,100,1.99,RU,1608209796
weiser,44.25,-116.97,35.01,86,90,9.17,US,1608209797
bhalki,18.03,77.22,73.71,49,2,7.74,IN,1608209798
villa sandino,12.05,-84.99,75.2,83,40,10.65,NI,1608209800
lebu,-37.62,-73.65,58.95,60,0,13.33,CL,1608209801
koslan,63.46,48.9,18.82,96,99,9.08,RU,1608209802
vaini,-21.2,-175.2,75.2,83,75,6.93,TO,1608209803
puerto ayora,-0.74,-90.35,70.0,93,50,1.01,EC,1608209805
constitucion,-35.33,-72.42,63.86,56,0,5.28,CL,1608209806
bengkulu,-3.8,102.27,77.34,83,100,4.85,ID,1608209807
bucak,37.46,30.59,69.8,62,20,4.7,TR,1608209794
nikolayevka,53.13,47.2,22.1,96,100,9.6,RU,1608209809
ishigaki,24.34,124.16,69.93,77,23,19.84,JP,1608209811
burnie,-41.07,145.92,57.99,87,96,8.99,AU,1608209812
katsuura,35.13,140.3,42.01,38,20,8.05,JP,1608209813
kruisfontein,-34.0,24.73,78.01,55,100,7.0,ZA,1608209815
roald,62.58,6.13,48.2,66,40,9.17,NO,1608209816
san quintin,30.48,-115.95,55.04,50,100,1.48,MX,1608209817
port hardy,50.7,-127.42,46.4,93,90,8.05,CA,1608209818
chuy,-33.7,-53.46,75.51,62,3,6.82,UY,1608209819
sur,22.57,59.53,72.5,56,0,7.07,OM,1608209821
salta,-24.79,-65.41,68.0,77,0,2.77,AR,1608209822
okha,53.57,142.95,15.1,95,100,21.47,RU,1608209823
bonthe,7.53,-12.51,86.63,53,100,3.58,SL,1608209824
mednogorsk,51.41,57.59,17.73,97,100,6.82,RU,1608209826
flinders,-34.58,150.86,75.99,1,0,3.0,AU,1608209827
bambanglipuro,-7.95,110.28,66.0,95,100,6.67,ID,1608209828
stromness,58.97,-3.3,46.4,81,20,11.41,GB,1608209829
atar,20.52,-13.05,73.4,11,0,11.41,MR,1608209831
bellevue,47.61,-122.2,46.4,81,90,18.34,US,1608209771
vitoria da conquista,-14.87,-40.84,75.81,60,78,6.58,BR,1608209833
cidreira,-30.18,-50.21,75.34,78,10,16.2,BR,1608209834
sao jose da coroa grande,-8.9,-35.15,83.98,64,15,10.25,BR,1608209835
castro,-24.79,-50.01,69.57,83,71,2.46,BR,1608209632
juliaca,-15.5,-70.13,46.4,61,0,3.36,PE,1608209838
kralendijk,12.15,-68.27,82.4,74,20,13.87,BQ,1608209838
ostrovnoy,68.05,39.51,27.84,90,100,11.43,RU,1608209839
georgetown,5.41,100.34,78.8,88,40,5.82,MY,1608209840
hermanus,-34.42,19.23,75.0,64,46,5.01,ZA,1608209729
minot,48.23,-101.3,23.0,79,1,9.17,US,1608209843
kingston,18.0,-76.79,78.01,78,40,8.05,JM,1608209844
mogadishu,2.04,45.34,84.2,62,20,16.11,SO,1608209845
henties bay,-22.12,14.28,68.0,79,0,5.99,NA,1608209846
zhuzhou,27.83,113.15,41.0,75,90,4.47,CN,1608209847
hithadhoo,-0.6,73.08,82.02,78,6,13.09,MV,1608209849
salinopolis,-0.61,-47.36,84.38,70,100,10.96,BR,1608209850
san patricio,28.02,-97.52,48.99,87,1,8.05,US,1608209851
buzmeyin,38.05,58.21,37.4,69,75,4.7,TM,1608209852
adwa,14.16,38.9,77.9,15,2,2.89,ET,1608209854
quirinopolis,-18.45,-50.45,84.96,52,96,3.69,BR,1608209855
camapua,-19.53,-54.04,87.13,54,93,5.5,BR,1608209856
ilulissat,69.22,-51.1,12.2,61,20,5.82,GL,1608209829
qasigiannguit,68.82,-51.19,12.2,61,20,5.82,GL,1608209859
dingle,11.0,122.67,75.33,86,95,9.15,PH,1608209860
barrow,71.29,-156.79,-9.4,76,1,17.22,US,1608209861
fondi,41.35,13.43,63.0,63,63,1.01,IT,1608209855
jamame,0.07,42.75,86.72,56,23,15.05,SO,1608209864
kudahuvadhoo,2.67,72.89,82.53,69,44,7.36,MV,1608209865
saint-joseph,-21.37,55.62,82.4,74,20,20.8,RE,1608209866
gori,41.98,44.12,41.85,71,100,14.47,GE,1608209867
carnarvon,-24.87,113.63,73.4,88,0,21.92,AU,1608209868
pisco,-13.7,-76.22,66.0,93,98,2.24,PE,1608209870
kahului,20.89,-156.47,71.01,90,5,4.0,US,1608209651
dikson,73.51,80.55,-15.95,89,100,17.9,RU,1608209872
bailieborough,53.92,-6.97,46.99,86,87,4.0,IE,1608209873
sungairaya,0.7,108.9,79.74,81,100,5.79,ID,1608209874
periyanayakkanpalaiyam,11.15,76.93,77.0,78,75,6.93,IN,1608209876
bredasdorp,-34.53,20.04,75.2,53,100,9.17,ZA,1608209877
vostok,46.49,135.88,-11.85,91,100,5.08,RU,1608209878
tuktoyaktuk,69.45,-133.04,-12.71,91,100,0.81,CA,1608209879
geraldton,-28.77,114.6,71.6,68,0,25.28,AU,1608209881
paris,48.85,2.35,51.8,93,90,6.93,FR,1608209753
saurimo,-9.66,20.39,87.8,43,75,10.29,AO,1608209883
yumen,40.28,97.2,14.27,84,100,11.54,CN,1608209885
ahipara,-35.17,173.17,56.32,89,3,5.14,NZ,1608209886
heihe,50.24,127.49,-2.2,70,100,2.24,CN,1608209887
avera,33.19,-82.53,39.2,91,90,6.93,US,1608209889
mayo,38.89,-76.51,28.99,92,1,12.75,US,1608209890
ust-omchug,61.15,149.63,-25.04,80,47,6.04,RU,1608209891
hirara,24.8,125.28,69.03,80,100,21.0,JP,1608209892
bandarbeyla,9.49,50.81,78.3,79,100,23.8,SO,1608209894
mahebourg,-20.41,57.7,78.8,88,40,14.99,MU,1608209895
souillac,-20.52,57.52,78.8,88,40,14.99,MU,1608209896
san pedro,14.35,121.02,80.6,83,75,2.24,PH,1608209897
vardo,70.37,31.11,19.4,79,40,6.93,NO,1608209898
nikolskoye,59.7,30.79,34.0,86,90,11.18,RU,1608209900
manzhouli,49.6,117.43,-3.6,81,0,17.13,CN,1608209900
izmir,38.46,27.09,59.0,58,41,10.29,TR,1608209901
tura,25.52,90.22,59.52,57,0,1.86,IN,1608209902
lewisporte,49.25,-55.05,28.4,92,90,10.29,CA,1608209904
torbay,47.67,-52.73,30.0,79,75,20.8,CA,1608209905
tiarei,-17.53,-149.33,77.0,78,40,20.24,PF,1608209906
port hedland,-20.32,118.57,84.2,83,86,14.99,AU,1608209907
matamoros,25.53,-103.25,39.0,36,0,1.72,MX,1608209908
lufilufi,-13.87,-171.6,82.4,88,75,16.11,WS,1608209910
ribeira grande,38.52,-28.7,66.2,88,75,24.16,PT,1608209911
venice,27.1,-82.45,66.2,88,90,8.05,US,1608209912
gravdal,68.12,13.5,35.6,64,20,8.05,NO,1608209913
galveston,29.37,-94.97,42.01,75,1,10.29,US,1608209914
guiglo,6.55,-7.5,91.51,46,100,3.06,CI,1608209916
muros,42.78,-9.06,55.99,83,100,11.99,ES,1608209917
sakakah,29.97,40.21,68.0,37,20,8.05,SA,1608209918
saldanha,-33.01,17.94,78.8,44,3,19.46,ZA,1608209920
wanning,18.8,110.4,65.71,85,100,11.48,CN,1608209921
nishihara,26.18,127.76,60.8,63,90,11.41,JP,1608209922
rio grande,-32.03,-52.1,78.01,78,75,12.75,BR,1608209923
nizhniy kuranakh,58.84,125.49,-22.77,83,92,5.59,RU,1608209925
richards bay,-28.78,32.04,84.4,49,26,12.06,ZA,1608209926
sangar,63.92,127.47,-42.0,80,97,3.94,RU,1608209927
tocopilla,-22.09,-70.2,71.42,52,2,8.86,CL,1608209928
clyde river,70.47,-68.59,-11.2,83,1,3.36,CA,1608209930
vila franca do campo,37.72,-25.43,64.4,88,40,13.87,PT,1608209931
san policarpo,12.18,125.51,80.87,81,99,20.33,PH,1608209932
nipawin,53.37,-104.0,6.8,84,90,6.93,CA,1608209933
raglan,-37.8,174.88,57.0,90,4,4.29,NZ,1608209934
lichtenburg,-26.15,26.16,76.53,50,99,7.38,ZA,1608209936
floro,61.6,5.03,46.4,75,75,19.46,NO,1608209937
kalispell,48.2,-114.31,35.6,80,90,8.05,US,1608209762
nemuro,43.32,145.57,26.37,84,4,25.39,JP,1608209939
upernavik,72.79,-56.15,11.39,84,53,5.21,GL,1608209940
severo-kurilsk,50.68,156.12,30.63,92,100,8.32,RU,1608209942
tupik,54.43,119.93,-17.18,84,72,3.0,RU,1608209943
lerwick,60.15,-1.15,48.2,87,75,19.46,GB,1608209944
kaitangata,-46.28,169.85,54.0,79,100,10.0,NZ,1608209946
washougal,45.58,-122.35,45.0,87,20,6.93,US,1608209947
waipawa,-41.41,175.52,59.0,87,86,1.12,NZ,1608209948
thompson,55.74,-97.86,-16.6,75,75,1.92,CA,1608209928
tilichiki,60.47,166.1,1.45,94,100,11.5,RU,1608209950
royan,45.63,-1.03,55.99,87,20,6.93,FR,1608209952
guerrero negro,27.98,-114.06,48.79,53,0,0.96,MX,1608209780
gizo,-8.1,156.84,84.72,69,0,5.84,SB,1608209954
marawi,8.0,124.29,77.0,93,100,1.99,PH,1608209955
dwarka,22.24,68.97,72.66,50,0,11.48,IN,1608209956
luderitz,-26.65,15.16,77.0,50,0,29.97,NA,1608209958
kosh-agach,50.0,88.67,-12.3,84,17,1.16,RU,1608209959
moerai,-22.43,-151.33,79.18,80,89,16.71,PF,1608209960
esperance,-33.87,121.9,59.0,72,0,11.41,AU,1608209961
camacha,33.08,-16.33,64.4,63,20,5.82,PT,1608209961
kenai,60.55,-151.26,21.2,92,20,10.29,US,1608209963
ucluelet,48.93,-125.55,46.0,92,73,1.01,CA,1608209964
oranjestad,12.52,-70.03,80.6,78,20,14.99,AW,1608209726
cap-aux-meules,47.38,-61.86,24.8,79,100,9.17,CA,1608209966
tuatapere,-46.13,167.68,54.0,84,100,4.0,NZ,1608209967
qaqortoq,60.72,-46.03,41.0,32,75,21.92,GL,1608209969
mar del plata,-38.0,-57.56,75.99,53,20,21.92,AR,1608209970
adre,13.47,22.2,88.23,11,0,11.97,TD,1608209878
keelung,25.13,121.74,63.0,100,75,11.41,TW,1608209972
merauke,-8.47,140.33,83.37,79,98,2.06,ID,1608209705
alofi,-19.06,-169.92,75.2,94,100,1.12,NU,1608209975
arlit,18.74,7.39,85.24,12,0,1.83,NE,1608209976
kloulklubed,7.04,134.26,78.8,88,90,11.41,PW,1608209977
forio,40.73,13.86,60.01,79,100,1.99,IT,1608209979
hambantota,6.12,81.12,80.6,83,20,6.93,LK,1608209980
airai,-8.93,125.41,62.31,100,100,2.35,TL,1608209981
palembang,-2.92,104.75,82.4,78,20,4.7,ID,1608209982
bandarban,22.2,92.23,77.0,65,0,11.41,BD,1608209983
komsomolskiy,40.43,71.72,32.0,76,0,2.39,UZ,1608209985
roebourne,-20.78,117.13,85.75,64,49,14.9,AU,1608209986
kuusamo,65.97,29.18,5.0,92,0,8.05,FI,1608209987
kirkby in ashfield,53.1,-1.24,46.99,90,0,5.99,GB,1608209989
beringovskiy,63.05,179.32,22.14,95,100,22.55,RU,1608209990
olafsvik,64.89,-23.71,36.55,82,100,26.46,IS,1608209991
yar-sale,66.83,70.83,11.19,91,14,18.84,RU,1608209993
port blair,11.67,92.75,81.03,81,100,12.5,IN,1608209994
uvira,-3.41,29.15,83.08,53,99,5.19,CD,1608209995
scurtu mare,44.35,25.27,42.01,80,100,1.74,RO,1608209996
piacabucu,-10.41,-36.43,85.12,58,31,8.5,BR,1608209998
shelburne,44.08,-80.2,19.99,91,100,6.98,CA,1608209999
port alfred,-33.59,26.89,75.99,78,97,3.0,ZA,1608210002
ballina,-28.87,153.57,75.2,88,90,8.05,AU,1608210005
sao joao da barra,-21.64,-41.05,82.4,65,0,9.17,BR,1608210006
zhangye,38.93,100.45,15.48,81,100,1.92,CN,1608210007
aklavik,68.22,-135.01,-25.6,74,100,2.24,CA,1608210009
lubao,14.92,120.55,80.6,83,75,4.7,PH,1608210010
narsaq,60.92,-46.05,41.0,32,75,21.92,GL,1608210012
nouadhibou,20.93,-17.03,71.6,53,0,20.8,MR,1608210014
lorengau,-2.02,147.27,83.5,75,100,6.26,PG,1608210016
guider,9.93,13.95,93.2,18,94,4.7,CM,1608210017
vila velha,-20.33,-40.29,82.0,65,40,12.75,BR,1608209764
te anau,-45.42,167.72,55.13,91,95,0.94,NZ,1608210020
ahuimanu,21.44,-157.84,75.2,78,6,9.17,US,1608210021
zhanaozen,43.3,52.8,36.55,72,98,6.73,KZ,1608210022
laukaa,58.74,29.85,34.93,88,100,7.0,RU,1608210023
